mezcla,politica,run,app,ipc,nucleos
1,0,1,deepsjeng_r,1.9081274955294572,4,86.6
1,0,1,nab_r,2.014609449003549,10,86.4
1,0,1,,3.576143664159108,0,202.6
1,0,1,REPEAT,1.8667089282944764,2467,1002.4
1,0,2,gamess,3.545111953801227,0,98.4
1,0,2,gobmk,1.4394604989134812,56,127.2
1,0,2,zeusmp,1.299664799084297,33,155.6
1,0,2,mcf_r,0.7756473964656869,1,291.4
1,0,2,lbm,1.5867139495784335,17,133.2
1,0,2,lbmREPEAT,1.6140379637897027,15,128.4
1,0,2,deepsjeng_r,1.9105458813158256,6,86.2
1,0,2,nab_r,2.0881346980828437,8,79.6
1,0,2,,3.5661375122612413,0,211.6
1,0,2,REPEAT,1.8767148675519456,2263,1019.2
1,1,1,xalancbmk,1.8545363899099157,5,139.0
1,1,1,bzip2,1.5404424403312507,73,159.4
1,1,1,mcf_r,0.8184156929376823,1,276.2
1,1,1,hmmer,1.5636752878332105,54,115.4
1,1,1,GemsFDTD,2.6376070792504547,8,103.6
1,1,1,tonto,1.6876207094609148,14,165.0
1,1,1,libquantum,3.7105484765033,2,110.8
1,1,1,imagick_r,4.5301070670321675,0,36.6
1,1,1,,1.4022058037729208,17,239.4
1,1,1,REPEAT,3.0471587349317644,2198,863.8
1,1,2,xalancbmk,1.8347789403317531,7,140.2
1,1,2,bzip2,1.5363285094967576,69,160.8
1,1,2,mcf_r,0.8228840610077545,1,274.8
1,1,2,hmmer,1.5616641153897877,54,115.6
1,1,2,GemsFDTD,2.613677953230066,14,104.4
1,1,2,tonto,1.6912744034260332,22,162.2
1,1,2,libquantum,3.702278921584885,2,111.0
1,1,2,imagick_r,4.527589767437429,0,36.6
1,1,2,,1.4010371960496195,21,238.0
1,1,2,REPEAT,3.0454384749206276,2230,854.4
1,2,1,gamess,3.537978225816999,0,98.6
1,2,1,leslie3d,3.3722429579862476,0,101.6
1,2,1,milc,1.0056319215467027,1,168.0
1,2,1,lbm_r,2.9678540067559647,0,56.0
1,2,1,mcf,0.5085158620013992,1,285.6
1,2,1,sphinx3,1.462819702202892,1,200.4
1,2,1,namd,1.7487371594826204,2,188.0
1,2,1,namdREPEAT,2.501040272667123,0,101.8
1,2,1,,3.5696380545621875,0,229.4
1,2,1,REPEAT,2.047952730930655,1262,855.0
1,2,2,gamess,3.5796385894050946,0,97.4
1,2,2,leslie3d,3.3691646932812427,0,101.6
1,2,2,milc,1.0055392819505713,1,168.0
1,2,2,lbm_r,2.974616195058517,0,55.8
1,2,2,mcf,0.5067827655033236,1,286.6
1,2,2,sphinx3,1.4646180393332213,1,200.0
1,2,2,namd,1.7490916043218878,2,187.8
1,2,2,namdREPEAT,2.5007413519543014,0,101.8
1,2,2,,3.5705476264980125,0,230.6
1,2,2,REPEAT,2.0485841753488536,1274,862.8
1,3,1,astar,1.1908456203496238,2,157.0
1,3,1,mcf_r,0.8237346448035527,1,274.4
1,3,1,hmmer,1.578424732671544,0,101.6
1,3,1,leela_r,1.547770337606596,2,107.0
1,3,1,sjeng,1.899489095737853,0,101.6
1,3,1,mcf_rREPEAT,0.8244236917470317,1,263.8
1,3,1,omnetpp_r,0.7384650340095481,1,305.8
1,3,1,nab_r,2.1123717152327686,0,78.6
1,3,1,,1.2603832926084924,1,227.0
1,3,1,REPEAT,1.5766668216455202,1442,829.2
1,3,2,astar,1.1840863458635091,2,157.8
1,3,2,mcf_r,0.8203455902515003,1,275.6
1,3,2,hmmer,1.5802415280914723,0,101.6
1,3,2,leela_r,1.5486464784115515,2,107.0
1,3,2,sjeng,1.8991671584869165,0,101.6
1,3,2,mcf_rREPEAT,0.820991242462735,1,264.2
1,3,2,omnetpp_r,0.7390895465184959,1,305.4
1,3,2,nab_r,2.111544018235196,0,78.6
1,3,2,,1.2597229637270901,1,226.6
1,3,2,REPEAT,1.5748969747343773,1418,824.4
2,0,1,gamess,2.705521691117807,1,175.6
2,0,1,gobmk,1.5192216428797387,123,87.0
2,0,1,zeusmp,1.565998103140863,229,69.6
2,0,1,mcf_r,0.9285610028065071,0,178.6
2,0,1,lbm,1.630499292001406,319,66.2
2,0,1,lbmREPEAT,1.6331833561701201,314,66.0
2,0,1,deepsjeng_r,1.9268148882537752,5,115.8
2,0,1,nab_r,1.861714509760328,233,57.2
2,0,1,,2.0349603716840114,247,121.2
2,0,1,REPEAT,1.6996729911923847,1443,491.2
2,0,2,gamess,2.7057273621033544,1,175.6
2,0,2,gobmk,1.5170588529831497,112,88.6
2,0,2,zeusmp,1.5445779711478198,227,71.8
2,0,2,mcf_r,0.9262998104553604,2,179.0
2,0,2,lbm,1.6377037225797557,312,66.4
2,0,2,lbmREPEAT,1.6319477781959983,318,65.8
2,0,2,deepsjeng_r,1.9159508616460337,13,114.4
2,0,2,nab_r,1.850927068598955,231,58.2
2,0,2,,2.032934168663054,238,120.6
2,0,2,REPEAT,1.69888926695975,1401,491.2
2,1,1,xalancbmk,2.421701975639154,199,64.8
2,1,1,bzip2,1.6634598146481385,165,112.8
2,1,1,mcf_r,0.9154821123671744,2,182.2
2,1,1,hmmer,1.5744007781167737,56,99.4
2,1,1,GemsFDTD,2.453273272544723,301,64.0
2,1,1,tonto,2.1962006160269785,198,83.2
2,1,1,libquantum,2.775132146766188,51,188.4
2,1,1,imagick_r,3.6296050456121494,1,62.0
2,1,1,,1.5590236189260247,15,126.2
2,1,1,REPEAT,2.0111469634616914,1382,523.8
